'Transaction_ID', 'User_ID', 'Merchant_Name', 'Txn_Category', 'Amt', 'Approved_Amt', 'Rejected_Amt', 'Txn_Type', 'Txn_Wallet', 'Txn_Status', 'Bill_Uploaded_Date', 'Claim_Raised_Date', 'Bill_Approved_Date', 'Rejection_Reason', 'Txn_Year', 'Txn_Month', 'Txn_Date', 'Rebate_Eligibility', 'Fuel_Surcharge', 'Rebate_Amount', 'Type', 'Manual_Txn', 'Approval_Status', 'SubmittedAt', 'ReimbursedAt', 'CancelledAt'
"c5879c0a-0dff-4c99-b97e-2b57c875dab0","01016334-2379-491f-acb6-ebcc5b0c2d97","Zomato Newdelhi Dlin","Food/Provisions","0.0","237.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 16:53:26.916","1970-01-01 05:30:00.0","2022-09-04 21:29:23.915","","2022","AUGUST","2022-08-30","true","false","71.1","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"4ef44640-3c4f-473a-96ca-4586c4848ffe","01016334-2379-491f-acb6-ebcc5b0c2d97","Payu Payments Pvt Ltd Gurgaon Hrin","Fuel & Travel","0.0","0.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 16:24:09.903","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-30","true","false","0.0","T","false","APPROVAL PENDING","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"a9e5caf9-0dab-4973-89e5-f363d9d75811","95741f52-7d37-4176-947a-3def3c34396c","T Mart Tiruvallur Tnin","Food/Provisions","0.0","362.0","0.0","DEBIT","TA","SUCCESS","2022-08-31 12:16:22.035","1970-01-01 05:30:00.0","2022-09-01 08:11:51.567","","2022","AUGUST","2022-08-31","false","false","0.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"b21ea187-f62f-4f88-9d95-b6bfa24e22fd","3078ff95-fc4e-445a-94b9-71c0736edf41","Paytm Noida Upin","Other","0.0","1178.0","0.0","DEBIT","FBA","SUCCESS","2022-09-01 11:54:42.651","1970-01-01 05:30:00.0","2022-09-01 12:49:31.61","","2022","SEPTEMBER","2022-09-01","true","false","353.4","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"5a086c6b-3413-44d8-850f-a26311e5e14c","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bangalore Kain","Food/Provisions","0.0","0.0","0.0","DEBIT","TA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","SEPTEMBER","2022-09-01","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"0e8d5297-a39f-4904-b4ed-fae90ab3410d","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bengaluru Kain","Food/Provisions","0.0","621.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 10:47:12.386","1970-01-01 05:30:00.0","2022-09-02 15:06:13.357","","2022","SEPTEMBER","2022-09-01","true","false","186.3","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"579d3671-a5d8-4d13-a214-e454a23fa3f7","95741f52-7d37-4176-947a-3def3c34396c","Zomato Gurgaon Hrin","Food/Provisions","0.0","150.0","0.0","DEBIT","FBA","SUCCESS","2022-09-01 19:55:29.3","1970-01-01 05:30:00.0","2022-09-02 15:06:39.736","","2022","SEPTEMBER","2022-09-01","true","false","30.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"df1676bc-a052-43ab-8377-ec256533fa50","01016334-2379-491f-acb6-ebcc5b0c2d97","Swiggy Bengaluru Kain","Food/Provisions","0.0","1736.0","0.0","DEBIT","FBA","SUCCESS","2022-09-02 10:46:17.222","1970-01-01 05:30:00.0","2022-09-02 15:06:54.093","","2022","SEPTEMBER","2022-09-01","true","false","520.8","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"547fbe50-5a27-4910-b617-80e7b22a2681","95741f52-7d37-4176-947a-3def3c34396c","Navin Kumaar Enterpris Chennai Tnin","Fuel & Travel","0.0","324.0","0.0","DEBIT","FBA","SUCCESS","2022-09-01 21:00:07.636","1970-01-01 05:30:00.0","2022-09-02 15:07:07.039","","2022","SEPTEMBER","2022-09-01","true","false","64.8","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"227c8dc5-34cb-4015-ac58-401777d6f803","95741f52-7d37-4176-947a-3def3c34396c","Brand Eyes Distributor South Delhi Dlin","Gadgets","0.0","2799.0","0.0","DEBIT","FBA","SUCCESS","2022-09-05 16:29:57.043","1970-01-01 05:30:00.0","2022-09-05 16:45:21.478","","2022","SEPTEMBER","2022-09-02","true","false","559.8","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
